	param_regressor__bootstrap	param_regressor__criterion	param_regressor__max_depth	param_regressor__max_features	param_regressor__min_samples_leaf	param_regressor__min_samples_split	param_regressor__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
51	True	squared_error	27	sqrt	10	4	400	18.431207581725968	0.9967095664121398	52	15.62315007924865	0.09335873620616839	55
52	False	squared_error	38	sqrt	1	2	650	18.46247731286098	1.2673557583138626	53	6.841102938769396	0.0829794641470649	1
53	False	squared_error	50	sqrt	1	2	650	18.464994619018853	1.2639800768552247	54	6.841105586804787	0.08298504042475145	2
54	False	squared_error	38	log2	18	15	250	18.500792801062786	0.9748300217366288	55	15.79249228144277	0.11119542844825084	56
55	True	squared_error	50	sqrt	1	50	100	18.554309593381838	0.8772472444825005	56	15.90122649209313	0.11309084802806461	57
56	False	squared_error	47	log2	20	22	300	18.6183996003099	0.9958373391781417	57	16.11334831526532	0.1078987540091144	58
57	False	absolute_error	32	sqrt	1	2	300	18.623233529779792	1.2660723507324445	58	7.132333288785311	0.092646614556192	3
58	True	squared_error	44	log2	12	12	100	18.657335732218232	0.9787267174745847	59	16.171034740303476	0.0990719013526258	59
59	False	absolute_error	31	log2	11	49	400	18.702385589901176	1.1424037615871518	60	16.388764256561352	0.12876073016524744	60
60	False	absolute_error	13	log2	17	2	450	18.863176255803584	1.1292312963752045	61	16.750857208791242	0.110101040699806	61
61	True	squared_error	10	sqrt	12	25	550	18.943435462905356	1.0193556242526784	62	16.996270685313313	0.08878653074385197	62
62	True	squared_error	21	sqrt	18	31	450	19.10494811381226	0.985800903876572	63	17.27061869581994	0.09732343977956052	63
63	True	absolute_error	32	sqrt	16	7	500	19.30733878608884	1.100978007815182	64	17.698338555043808	0.10680061932826483	64
64	True	squared_error	12	log2	24	20	350	19.54488850225447	0.9568383639158897	65	18.089115367869773	0.09170926204675829	65
65	True	squared_error	19	sqrt	26	5	200	19.635952677155583	0.9553421687826161	66	18.23988524689199	0.0844717992738933	66
66	True	absolute_error	29	sqrt	27	36	350	19.97344435021042	1.0651255026203137	67	18.90649808563987	0.08813303314571615	67
67	False	squared_error	5	sqrt	1	13	650	20.36269049190294	1.0488053334321765	68	19.513668697867807	0.10491759728354416	68
68	False	squared_error	5	log2	5	8	100	20.36698953105323	1.0273919425692895	69	19.553526042797557	0.12340351860158436	69
69	True	squared_error	5	sqrt	1	50	650	20.58829235056774	1.0190009388219636	70	19.891998201174193	0.11294477223989456	70
