	param_detector__bootstrap	param_detector__contamination	param_detector__max_features	param_detector__max_samples	param_detector__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
38	True	0.0207	9	3225	450	0.470804466357551	0.002561681271767741	39	0.46865566074867077	0.0012080093063359637	39
39	True	0.0026	7	3505	700	0.4707607334187551	0.0019249843418750968	40	0.4685756875436836	0.0005828544133196098	40
40	True	0.084	13	1720	350	0.46965529533194844	0.0015521442575572868	41	0.46754481458702546	0.0010348613778629755	41
41	True	0.0835	15	3505	500	0.4695968915437804	0.001709739447881838	42	0.4675347227061993	0.0006684647828474615	42
42	True	0.0221	14	2890	700	0.4690569534903412	0.002218345861662213	43	0.46697634887242323	0.0006410907802353762	43
43	True	0.0689	11	2890	450	0.4689942811026448	0.0021740957904534232	44	0.4668651657470507	0.0005685684655289285	44
44	True	0.038700000000000005	12	1325	500	0.46813980000116473	0.0016989292408263199	45	0.46596897625630945	0.00047188167404980225	46
45	True	0.05260000000000001	10	935	400	0.46762418167508757	0.0012361391368574041	46	0.46599121018304696	0.0007999562910658409	45
46	False	0.1102	2	1790	200	0.45685331259656203	0.001993541361112847	47	0.4538643300374382	0.0007431777939218702	47
47	False	0.0815	4	2505	250	0.44901258399063	0.0015135730391788768	48	0.44606491652890295	0.0009432397645911297	48
48	False	0.0981	11	1090	500	0.44277574835386496	0.002029357910667833	49	0.44053251018357437	0.0005452572562374013	49
49	False	0.0873	14	1330	550	0.4414516136761592	0.001777092201334149	50	0.4390589631474876	0.0005012106666674945	50
