index	SI	LAB	MOHO	CTD	SV	PV	GEOID	FA	RHO_C	BG	EMAG2_CLASS	DEM	RHO_L	VOLC_DIST_W	REG	GLIM	lon	lat	grid_index	heat-flow (mW/m2)
3214	0.3551317169892464	138.01362452617258	35.183992585144736	29.171250257730883	0.0182160299656247	0.001213820514481	-26.710990808984302	3.419706733212929	2760.9845699327007	-11.456566426996542	-0.1108184552605799	100.0	3309.329466869304	0.0	2	1	-96.28	32.11	826159	56.3
3215	0.3551317169892464	138.01362452617258	35.183992585144736	29.171250257730883	0.0182160299656247	0.001213820514481	-26.710990808984302	3.419706733212929	2760.9845699327007	-11.456566426996542	-0.1108184552605799	100.0	3309.329466869304	0.0	2	1	-96.28	32.11	826159	55.2
3216	0.3551317169892464	138.01362452617258	35.183992585144736	29.171250257730883	0.0182160299656247	0.001213820514481	-26.710990808984302	3.419706733212929	2760.9845699327007	-11.456566426996542	-0.1108184552605799	100.0	3309.329466869304	0.0	2	1	-96.28	32.12	826159	79.1
3217	0.3551317169892464	138.01362452617258	35.183992585144736	29.171250257730883	0.0182160299656247	0.001213820514481	-26.710990808984302	3.419706733212929	2760.9845699327007	-11.456566426996542	-0.1108184552605799	100.0	3309.329466869304	0.0	2	1	-96.28	32.13	826159	84.4
3218	-0.3284746559218999	232.2341496258713	41.852863398019466	40.5059063899428	0.0686314518266417	0.0022764565152371	-28.913916427669346	-8.663769975677976	2880.026958202062	-48.98867721724931	0.0341151936227416	377.0	3348.7017388112586	0.0	1	3	-96.183	40.265	899919	105.0
3219	0.1899384585370775	163.80616566126815	38.53692159159577	32.558950836112686	0.0279356558972069	0.0060659814571695	-27.52724161706499	-1.0481031069482123	2764.63240363707	-22.051706017431904	0.3225032489029557	172.0	3306.403818398434	0.0	2	1	-96.14	33.6	840552	61.3
3220	0.4630344548400524	155.30869537822397	37.917556231535954	32.90867146964007	0.0244172078974916	0.0040160866582165	-26.635526468752	7.778181595331514	2756.6576855904373	-9.688099432797276	0.0467087624799276	153.0	3304.7674454290245	0.0	2	1	-96.1	33.14	835155	57.3
3221	0.2753812304230429	162.50511859809825	38.31887865789601	32.34367694387361	0.0270712187467743	0.0056256030657671	-27.3147113689195	-0.5937738763625111	2761.445213597883	-19.29832389527988	0.216281022903979	189.0	3305.672408165724	0.0	2	1	-96.08	33.37	838753	63.5
3222	-0.3699235867379299	230.27722370954325	41.77172357358656	40.21746557272563	0.0675088193422162	0.0026926039055548	-29.15571158343955	-10.734541072984928	2879.7140643781704	-50.639047348186224	0.0487729433877847	340.0	3349.0862586001717	0.0	1	3	-96.08	40.152	898120	58.0
3223	0.2753812304230429	162.50511859809825	38.31887865789601	32.34367694387361	0.0270712187467743	0.0056256030657671	-27.3147113689195	-0.5937738763625111	2761.445213597883	-19.29832389527988	0.216281022903979	189.0	3305.672408165724	0.0	2	1	-96.06	33.38	838753	61.3
