lon,lat,heat-flow (mW/m2),grid_index,dist_from_grid,VOLC_DIST,VOLC_DIST_W,LAND,CONTINENT,SV,PV,CTD,MOHO,SI,LAB,RHO_C,RHO_L,GEOID,FA,BG,DEM,EMAG2,EMAG2_CLASS,GLIM,REG,SV_SPEED,PV_SPEED
-124.353,40.563,34.0,901577,8531.832905993131,199.32530706670957,0.0,1.0,8.0,-0.01623588753887894,-0.017961861387721517,22.614491596239453,22.12205585846726,-0.7491212091683003,74.22371983071663,2805.9663498552245,3291.5937972323736,-30.184663564282424,8.964960500686384,26.53189026325387,175.0,-51.95241165161133,-0.1221123432248922,3.0,4.0,,
-124.28,44.858,46.2,941155,6519.59822955061,148.14841506075695,0.0,,,0.0013769859474951553,-0.011029728873966858,27.159757285344135,25.10917699140648,-0.2943716243232124,75.44692946532702,2787.843843468304,3279.318222191569,-23.669144411932514,2.6952383397988178,21.39457338128584,-120.0,-3.4028234663852886e+38,-1.0,15.0,3.0,,
-124.213,40.74,38.0,903377,8595.213141327453,185.2141680469932,0.0,1.0,8.0,-0.013614548309401236,-0.01820225485062236,22.542500863319873,24.373031836543774,-0.7706608363481134,75.9072864215512,2802.218404922315,3287.220776713926,-28.81251387940156,10.838336450272436,-5.334963421919845,458.0,-34.75898361206055,-0.08332726977044451,1.0,4.0,,
-124.21,40.727,52.77,903377,7484.5942592485635,185.58604084126094,0.0,1.0,8.0,-0.013614548309401236,-0.01820225485062236,22.542500863319873,24.373031836543774,-0.7706608363481134,75.9072864215512,2802.218404922315,3287.220776713926,-28.81251387940156,10.838336450272436,-5.334963421919845,458.0,-34.75898361206055,-0.08332726977044451,1.0,4.0,,
-124.18,40.547,77.51,901578,7549.827546316408,184.641081026492,0.0,1.0,8.0,-0.014494957851012106,-0.01796057207465956,22.606925613128325,25.22843439556489,-0.7472649561550935,75.52649990885755,2802.0267333285938,3287.677563427313,-29.241585912374504,15.11424324763448,-2.8180570002256218,133.0,-46.573360443115234,-0.11013914081702499,3.0,4.0,,
-124.126,40.24,75.0,899779,5272.39848808336,181.6774590804423,0.0,1.0,8.0,-0.01570676920775206,-0.017076225145927944,22.624059140225576,24.9884162150854,-0.7243122450206742,75.42177207747432,2807.084938717194,3292.502398162459,-30.037532217414658,17.503299340662608,18.403177720272183,343.0,-57.87527847290039,-0.13513228217623421,3.0,4.0,,
-124.1,46.85,38.0,959146,6806.056731425026,163.70472393477763,0.0,1.0,8.0,0.015097468833239834,-0.012519336507179554,28.870520107528105,28.608406322011007,-0.21906395590959937,78.91617202914351,2812.4537540297615,3280.909439342602,-22.595267994258162,-25.63945642662285,-25.142701846195315,3.0,-80.2787094116211,-0.1829020328926445,15.0,3.0,,
-124.066,40.022,58.0,897980,9384.276060425773,161.39640921586644,0.0,1.0,8.0,-0.017331069149945047,-0.016132047992472177,22.62139004297968,22.69015403024362,-0.6966629413004457,74.80957185297422,2807.33862327782,3293.260001348705,-30.09055412214518,21.482359652269523,16.887147104156867,245.0,-67.35211181640625,-0.15561841321459768,3.0,4.0,,
-124.036,49.792,27.0,984333,11230.463187849267,60.74875149222243,0.3925124850777757,1.0,8.0,0.0055717283341771215,-0.011330732565724103,30.24903530987708,32.10289329043006,0.27487760222952523,78.39368080113132,2830.585347414824,3279.7621054177807,-15.560770838306393,0.7998192658537673,-73.05626114463143,301.0,3.714503765106201,0.00924340719275952,5.0,3.0,,
-124.036,49.792,24.0,984333,11230.463187849267,60.74875149222243,0.3925124850777757,1.0,8.0,0.0055717283341771215,-0.011330732565724103,30.24903530987708,32.10289329043006,0.27487760222952523,78.39368080113132,2830.585347414824,3279.7621054177807,-15.560770838306393,0.7998192658537673,-73.05626114463143,301.0,3.714503765106201,0.00924340719275952,5.0,3.0,,
-123.99,49.972,44.0,986132,7452.54423399033,53.30239039626856,0.4669760960373144,1.0,8.0,0.0005628518805982231,-0.011445421372719394,29.838626504617714,32.44237916244174,0.2630854491402823,77.05589433285213,2824.1287440080364,3286.0842068794286,-15.491232728918337,-12.257615980818985,-80.50320922410995,420.0,12.858534812927246,0.031640456456699884,5.0,3.0,,
-123.98,40.877,49.0,905177,3769.345477483417,161.17705538595098,0.0,1.0,8.0,-0.01089637644922834,-0.01831474096090427,22.489919078567432,27.443081708341403,-0.7574895498723995,76.88348884451597,2803.98668222623,3287.0567356169913,-28.14684382589943,12.043100264232987,-30.653100739799292,585.0,-31.572975158691406,-0.07597206883524076,8.0,4.0,,
-123.975,50.002,24.0,986132,10138.098722425553,51.31748042902926,0.4868251957097074,1.0,8.0,0.0005628518805982231,-0.011445421372719394,29.838626504617714,32.44237916244174,0.2630854491402823,77.05589433285213,2824.1287440080364,3286.0842068794286,-15.491232728918337,-12.257615980818985,-80.50320922410995,420.0,12.858534812927246,0.031640456456699884,5.0,3.0,,
-123.943,50.012,38.0,986132,10899.29351245019,48.822529339667646,0.5117747066033236,1.0,8.0,0.0005628518805982231,-0.011445421372719394,29.838626504617714,32.44237916244174,0.2630854491402823,77.05589433285213,2824.1287440080364,3286.0842068794286,-15.491232728918337,-12.257615980818985,-80.50320922410995,420.0,12.858534812927246,0.031640456456699884,5.0,3.0,,
-123.935,50.178,68.0,987931,7051.006321441606,47.11409772918481,0.5288590227081519,1.0,8.0,-0.001702010694607263,-0.011502884801110357,29.687843942538585,32.55544862929692,0.24262826593449904,76.68844348337882,2821.87909518062,3289.559516685171,-15.210159426197045,-14.61819541001494,-91.61222769441743,276.0,18.397144317626953,0.044966540374761624,9.0,3.0,,
-123.933,49.812,40.0,984333,10961.637238832673,54.31966812682264,0.4568033187317736,1.0,8.0,0.0055717283341771215,-0.011330732565724103,30.24903530987708,32.10289329043006,0.27487760222952523,78.39368080113132,2830.585347414824,3279.7621054177807,-15.560770838306393,0.7998192658537673,-73.05626114463143,301.0,3.714503765106201,0.00924340719275952,5.0,3.0,,
-123.903,50.017,43.0,987931,11133.135381728975,45.91650252309269,0.540834974769073,1.0,8.0,-0.001702010694607263,-0.011502884801110357,29.687843942538585,32.55544862929692,0.24262826593449904,76.68844348337882,2821.87909518062,3289.559516685171,-15.210159426197045,-14.61819541001494,-91.61222769441743,276.0,18.397144317626953,0.044966540374761624,9.0,3.0,,
-123.901,49.85,29.0,986132,7591.040662709486,53.59724402332595,0.4640275597667405,1.0,8.0,0.0005628518805982231,-0.011445421372719394,29.838626504617714,32.44237916244174,0.2630854491402823,77.05589433285213,2824.1287440080364,3286.0842068794286,-15.491232728918337,-12.257615980818985,-80.50320922410995,420.0,12.858534812927246,0.031640456456699884,5.0,3.0,,
-123.898,49.85,33.0,986132,7668.1636433313815,53.41969924760182,0.46580300752398185,1.0,8.0,0.0005628518805982231,-0.011445421372719394,29.838626504617714,32.44237916244174,0.2630854491402823,77.05589433285213,2824.1287440080364,3286.0842068794286,-15.491232728918337,-12.257615980818985,-80.50320922410995,420.0,12.858534812927246,0.031640456456699884,5.0,3.0,,
-123.886,50.16,77.0,987931,6249.065120903573,43.41579088056564,0.5658420911943436,1.0,8.0,-0.001702010694607263,-0.011502884801110357,29.687843942538585,32.55544862929692,0.24262826593449904,76.68844348337882,2821.87909518062,3289.559516685171,-15.210159426197045,-14.61819541001494,-91.61222769441743,276.0,18.397144317626953,0.044966540374761624,9.0,3.0,,
-123.88,43.802,36.8,932162,11517.014993798313,142.3568281927619,0.0,1.0,8.0,0.0014484754319155219,-0.008476300125763954,24.81580001354888,26.766745807763684,0.34106583459853934,76.63007116301176,2823.7604098410256,3279.397062427,-23.40606020032171,12.720158389457367,7.0948407331602175,264.0,-3.4028234663852886e+38,-1.0,3.0,3.0,,
-123.88,46.15,40.0,951951,6849.248313376347,131.01198139985743,0.0,1.0,8.0,0.009532560707507036,-0.01009713319015221,28.3890608405811,29.941653834188084,-0.11390146859443917,78.10993965611317,2828.1894033761,3279.438723712712,-22.509925620405713,-8.063369696560228,-3.982634304968362,65.0,-3.4028234663852886e+38,-1.0,11.0,3.0,,
-123.863,50.037,40.0,987931,10143.995725540943,42.61305621273989,0.573869437872601,1.0,8.0,-0.001702010694607263,-0.011502884801110357,29.687843942538585,32.55544862929692,0.24262826593449904,76.68844348337882,2821.87909518062,3289.559516685171,-15.210159426197045,-14.61819541001494,-91.61222769441743,276.0,18.397144317626953,0.044966540374761624,9.0,3.0,,
-123.861,49.102,38.0,978936,5687.955579067534,76.59374447373142,0.23406255526268582,1.0,8.0,0.01174715132359487,-0.011558437188785064,30.401760616303903,30.877759260696763,0.24717852956502478,79.08490375381405,2835.4532410107417,3278.730407717563,-16.7457474797608,35.96213014467253,-19.956812063665534,28.0,34.58928298950195,0.08293686092916967,15.0,3.0,,
-123.856,49.103,52.0,978936,6026.651216531804,76.2860050772362,0.23713994922763804,1.0,8.0,0.01174715132359487,-0.011558437188785064,30.401760616303903,30.877759260696763,0.24717852956502478,79.08490375381405,2835.4532410107417,3278.730407717563,-16.7457474797608,35.96213014467253,-19.956812063665534,28.0,34.58928298950195,0.08293686092916967,15.0,3.0,,
-123.85,50.042,53.0,987931,10215.750060722208,41.58634607114857,0.5841365392885143,1.0,8.0,-0.001702010694607263,-0.011502884801110357,29.687843942538585,32.55544862929692,0.24262826593449904,76.68844348337882,2821.87909518062,3289.559516685171,-15.210159426197045,-14.61819541001494,-91.61222769441743,276.0,18.397144317626953,0.044966540374761624,9.0,3.0,,
-123.84,42.02,46.0,915971,11341.01328253505,124.90938139733063,0.0,1.0,8.0,-0.004618807075237135,-0.014185651460083337,22.161225336597983,27.67670322282801,-0.5668897311967349,74.80188231019218,2818.771915351442,3281.1283571392196,-25.751994992243084,3.6443734492331377,-48.96912199361648,993.0,21.489307403564453,0.05232986204908223,3.0,3.0,,
